GO:0019752	NCBITaxon:224308;NCBITaxon:10090;NCBITaxon:44689;NCBITaxon:83332;NCBITaxon:69014;NCBITaxon:9606;NCBITaxon:4081;NCBITaxon:83333;NCBITaxon:3218;NCBITaxon:9913;NCBITaxon:7955;NCBITaxon:100226;NCBITaxon:7227;NCBITaxon:243277;NCBITaxon:224324;NCBITaxon:99287;NCBITaxon:39947;NCBITaxon:36329;NCBITaxon:10116;NCBITaxon:284812;NCBITaxon:3702;NCBITaxon:171101;NCBITaxon:6239;NCBITaxon:632;NCBITaxon:559292;NCBITaxon:273057;NCBITaxon:3055;NCBITaxon:211586;NCBITaxon:243232;NCBITaxon:367110;NCBITaxon:185431;NCBITaxon:243230;NCBITaxon:324602;NCBITaxon:227321;NCBITaxon:441771;NCBITaxon:9031;NCBITaxon:9823;NCBITaxon:237561;NCBITaxon:208964;
GO:0000228	NCBITaxon:10090;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:227321;NCBITaxon:559292;NCBITaxon:10116;NCBITaxon:237561;NCBITaxon:284812;NCBITaxon:7227;NCBITaxon:3702;
GO:0001817	NCBITaxon:10090;NCBITaxon:185431;NCBITaxon:9606;NCBITaxon:99287;NCBITaxon:36329;NCBITaxon:9031;NCBITaxon:10116;NCBITaxon:9823;NCBITaxon:9913;NCBITaxon:7955;
GO:0005899	NCBITaxon:10116;NCBITaxon:9606;NCBITaxon:7227;
GO:2000762	NCBITaxon:3702;
GO:0019899	NCBITaxon:224308;NCBITaxon:10090;NCBITaxon:44689;NCBITaxon:83332;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:559292;NCBITaxon:83333;NCBITaxon:9615;NCBITaxon:9913;NCBITaxon:7955;NCBITaxon:7227;NCBITaxon:185431;NCBITaxon:99287;NCBITaxon:39947;NCBITaxon:10116;NCBITaxon:36329;NCBITaxon:9031;NCBITaxon:9823;NCBITaxon:284812;NCBITaxon:208964;NCBITaxon:3702;
GO:0046068	NCBITaxon:10090;NCBITaxon:44689;NCBITaxon:83332;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:36329;NCBITaxon:10116;NCBITaxon:9913;NCBITaxon:7227;NCBITaxon:3702;
GO:1990281	NCBITaxon:99287;NCBITaxon:208964;
GO:0051643	NCBITaxon:10090;NCBITaxon:7227;
GO:0032696	NCBITaxon:10090;NCBITaxon:9606;
GO:0044216	NCBITaxon:36329;NCBITaxon:9606;NCBITaxon:99287;
GO:0044659	NCBITaxon:83333;
GO:0032813	NCBITaxon:10090;NCBITaxon:10116;NCBITaxon:9606;NCBITaxon:7955;
GO:0072080	NCBITaxon:10116;NCBITaxon:10090;NCBITaxon:9606;NCBITaxon:8364;NCBITaxon:7955;
GO:0090528	NCBITaxon:7227;
GO:0044397	NCBITaxon:284812;
GO:0051686	NCBITaxon:284812;NCBITaxon:7227;
GO:0014037	NCBITaxon:10090;NCBITaxon:10116;NCBITaxon:9606;NCBITaxon:7955;
GO:0070706	NCBITaxon:185431;
GO:0090452	NCBITaxon:284812;
GO:1901897	NCBITaxon:10090;NCBITaxon:10116;NCBITaxon:9606;
GO:0097383	NCBITaxon:9606;
GO:0032459	NCBITaxon:10090;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:559292;NCBITaxon:10116;NCBITaxon:9031;NCBITaxon:83333;NCBITaxon:284812;NCBITaxon:7227;
GO:0005633	NCBITaxon:559292;
GO:1904036	NCBITaxon:10090;NCBITaxon:10116;NCBITaxon:9823;NCBITaxon:9606;
GO:1905460	NCBITaxon:10116;
GO:0071444	NCBITaxon:10090;NCBITaxon:284812;NCBITaxon:7227;NCBITaxon:559292;
GO:0000035	NCBITaxon:83333;NCBITaxon:9913;NCBITaxon:83332;NCBITaxon:3702;
GO:0036180	NCBITaxon:237561;
GO:0060462	NCBITaxon:10116;
GO:1903849	NCBITaxon:10090;
GO:0036494	NCBITaxon:10090;
GO:0002666	NCBITaxon:10090;NCBITaxon:237561;NCBITaxon:9606;
GO:0030244	NCBITaxon:83333;NCBITaxon:44689;NCBITaxon:3702;
GO:0035709	NCBITaxon:10090;
GO:0008210	NCBITaxon:10116;NCBITaxon:10090;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:7955;NCBITaxon:7227;
GO:0044413	NCBITaxon:36329;NCBITaxon:237561;NCBITaxon:83332;NCBITaxon:208964;
GO:0019447	NCBITaxon:83333;NCBITaxon:3702;
GO:0030032	NCBITaxon:10090;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:7955;NCBITaxon:7227;
GO:0010255	NCBITaxon:10090;NCBITaxon:3702;NCBITaxon:559292;
GO:0032557	NCBITaxon:10116;NCBITaxon:284812;NCBITaxon:83332;NCBITaxon:9606;NCBITaxon:243232;NCBITaxon:1111708;
GO:0006269	NCBITaxon:83333;NCBITaxon:284812;NCBITaxon:83332;NCBITaxon:9606;NCBITaxon:559292;
GO:0000721	NCBITaxon:224308;NCBITaxon:559292;
GO:0009739	NCBITaxon:39947;NCBITaxon:3702;
GO:0070463	NCBITaxon:9606;NCBITaxon:559292;
GO:0010276	NCBITaxon:1111708;NCBITaxon:3702;
GO:0010472	NCBITaxon:3702;
GO:0060214	NCBITaxon:10090;NCBITaxon:7955;
GO:1904721	NCBITaxon:10090;NCBITaxon:9606;
GO:0072317	NCBITaxon:284812;
GO:0015355	NCBITaxon:7955;NCBITaxon:559292;
GO:0019789	NCBITaxon:10090;NCBITaxon:44689;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:227321;NCBITaxon:39947;NCBITaxon:559292;NCBITaxon:10116;NCBITaxon:284812;NCBITaxon:7955;NCBITaxon:3702;NCBITaxon:7227;
GO:0070342	NCBITaxon:10116;
GO:0032777	NCBITaxon:9606;NCBITaxon:559292;
GO:0009870	NCBITaxon:4081;NCBITaxon:39947;NCBITaxon:3702;
GO:1990574	NCBITaxon:284812;
GO:0020026	NCBITaxon:36329;
GO:0030529	NCBITaxon:224308;NCBITaxon:10090;NCBITaxon:44689;NCBITaxon:83332;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:559292;NCBITaxon:83333;NCBITaxon:9913;NCBITaxon:7955;NCBITaxon:7227;NCBITaxon:9796;NCBITaxon:9544;NCBITaxon:185431;NCBITaxon:31033;NCBITaxon:227321;NCBITaxon:10116;NCBITaxon:36329;NCBITaxon:237561;NCBITaxon:9823;NCBITaxon:284812;NCBITaxon:3702;
GO:0031145	NCBITaxon:10090;NCBITaxon:9823;NCBITaxon:284812;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:7227;NCBITaxon:559292;
